Nama,Singkatan
AMIK BSI Jakarta,AMIK BS
Chaudhary Charan Singh Haryana Agricultur University,CCSHAU
FACHHOCHSCHULE BRANDENBURG,
Fo Guang University,FGU
SAAT MINISTRY CENTER,
Sekolah Tinggi Agama Islam Indonesia Jakarta,
Sekolah Tinggi Ilmu Administrasi Yapann,
Sekolah Tinggi Ilmu Statistik,
Sekolah Tinggi Musik Basuki Indonesia,
Sekolah Tinggi Teologi Apostolic Jakarta,
Sekolah Tinggi Teologi Apostolos Jakarta,
Sekolah Tinggi Teologi Ecclesia Christi Jakarta,
Sekolah Tinggi Teologi IKSM Santosa Asih,
Sekolah Tinggi Teologi Injili Indonesia Jakarta,
Sekolah Tinggi Teologi Jakarta,
Sekolah Tinggi Teologi Siloam Internasional,
Shandong Normal University,
Sekolah Tinggi Ilmu Kesehatan Kharisma Persada,
STIU Al-Hikmah Mampang Jakarta Selatan,
Sekolah Tinggi Teologi BAKTI FILADELFIA,
Sekolah Tinggi Teologi MAHKOTA Sion,
Sekolah Tinggi Teologi Misi Bethany Jakarta,
Technische Hochschule Brandenburg,THB
The One Academy Penang,
Universidad Autonoma de Baja California,UABC
University of Kelaniya,UK
Akademi Akuntansi Artawiyata Indo-lpi,
Akademi Akuntansi YAI Jakarta,
Akademi Bahasa Asing BSI Jakarta,
Akademi Bahasa Asing Saint Mary,
Akademi Farmasi Hang Tuah Jakarta,
Akademi Kebidanan Budi Kemuliaan,
Akademi Kebidanan Jakarta Mitra Sejahtera,
Akademi Kebidanan RSPAD Gatot Soebroto,
Akademi Keperawatan Hang Tuah Jakarta,
Akademi Keperawatan RS Husada,
Akademi Keperawatan RSPAD Gatot Subroto,
Akademi Keperawatan Yayasan Jalan Kimia,
Akademi Kesehatan Gigi Ditkesad Jakarta,
Akademi Kesehatan Yayasan Rumah Sakit Jakarta,
Akademi Keuangan Dan Perbankan LPI,
Akademi Litigasi Indonesia Pengayoman,
Akademi Pariwisata Jakarta,
Akademi Pariwisata Saint Mary,
Akademi Pariwisata Sinar Surya,
Akademi Perawatan RS PGI Cikini,
Akademi Refraksi Optisi Kartika Indera Persada,
Akademi Sekretari Dan Manajemen Saint Mary,
Akademi Sekretari Saint Theresia,
Akademi Teknik Gigi Hang Tuah Jakarta,
Columbia International University,
Communication University of China,
Communication University of China,
Fukushima Medical University,
Hochschule Rhein-waal,
Institut Agama Islam Jami`at Khair Jakarta Pusat,
Institut Ilmu Sosial dan Manajemen STIAMI,
Institut Kesehatan dan Teknologi Pondok Karya Pembangunan,
Institut Komunikasi Dan Bisnis LSPR,
Institut Teknologi Calvin,
Institut Teknologi dan Bisnis Ahmad Dahlan,
Institut Teknologi dan Bisnis Jakarta,
Institut Teknologi dan Kesehatan Jakarta,
La Trobe University,
National Chin-Yi University of Technology,
Politeknik APP Jakarta,
Politeknik Hang Tuah Jakarta,
Politeknik LP3I Jakarta,
Politeknik Multimedia Nusantara,
Politeknik Sahid,
Politeknik Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara Jakarta,
Politeknik Tempo,
Sekolah Tinggi Desain LaSalle,
Sekolah Tinggi Filsafat Driyarkara,
Sekolah Tinggi Filsafat Theologi Jakarta,
Sekolah Tinggi Ilmu Administrasi Mandala Indonesia,
Sekolah Tinggi Ilmu Ekonomi Darunnajah,
Sekolah Tinggi Ilmu Ekonomi Jayakarta,
Sekolah Tinggi Ilmu Ekonomi Jayakusuma,
Sekolah Tinggi Ilmu Ekonomi Nasional Indonesia,
Sekolah Tinggi Ilmu Ekonomi Taman Siswa,
Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,
Sekolah Tinggi Ilmu Ekonomi YAI,
Sekolah Tinggi Ilmu Kesehatan Budi Kemuliaan,
Sekolah Tinggi Ilmu Kesehatan Fatmawati,
Sekolah Tinggi Ilmu Kesehatan RSPAD Gatot Soebroto,
Sekolah Tinggi Ilmu Kesehatan Sint Carolus,
Sekolah Tinggi Ilmu Komunikasi Lspr,
Sekolah Tinggi Ilmu Manajemen Saint Mary,
Sekolah Tinggi Manajemen Labora,
Sekolah Tinggi Manajemen Ppm,
Sekolah Tinggi Teknologi Indonesia,
Sekolah Tinggi Teologi Baptis Kalvari Jakarta,
Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,
Sekolah Tinggi Teologi Global Jakarta,
Sekolah Tinggi Teologi Paulus Jakarta,
Sekolah Tinggi Teologi Pelita Bangsa,
Sekolah Tinggi Teologi Tiberias Jakarta,
Southern Medical University,
ST Agama Kristen William Booth Jakarta,
Sekolah Tinggi Agama Islam Nahdlatul Ulama Jakarta,
STIA-Lembaga Administrasi Negara Jakarta,
STIBA Indonesia LPI,
Sekolah Tinggi Ilmu Ekonomi Jakarta International College,
STIH Litigasi,
STMIK Indonesia Jakarta,
STMIK Jayakarta,
Sekolah Tinggi Teologi  Bethel Indonesia Jakarta,
Sekolah Tinggi Teologi  Makedonia Jakarta,
Sekolah Tinggi Teologi  Real Jakarta,
Sekolah Tinggi Teologi  Taman Firdaus Jakarta,
Universitas Indonesia,UI
Universitas Insan Cita Indonesia,UICI
Universitas Islam Imam Muhammad Ibn Saud,
Universitas Nahdlatul Ulama Indonesia,UNU Indonesia
Universitas Persada Indonesia Yai,UPI YAI
Universitas Yarsi,Yarsi
University of Al Qurawiyyin,
University of Applied Sciences Upper Austria,
University of Chester,
Akademi Audiologi Indonesia Jakarta,
Institut Kesenian Jakarta,
Universitas Bung Karno,
Akademi Pariwisata Gsp Internasional,
Akademi Terapi Wicara,
Sekolah Tinggi Ilmu Ekonomi Gandhi,
Sekolah Tinggi Ilmu Ekonomi Wiyatamandala,
Sekolah Tinggi Teologi Eklesia Jakarta,
STAI Publisistik Thawalib Jakarta,
Universitas Bina Sarana Informatika,BSI
Akademi Kebidanan Kartika Mitra Husada,
Politeknik STMI Jakarta,
Sekolah Tinggi Manajemen Industri,
Sekolah Tinggi Teologi Reformed Injili Internasional,
Sekolah Tinggi Ilmu Kesehatan RS Husada,
Sekolah Tinggi Internasional Konservatori Musik Indonesia,
Al-Madinah International University At Malaysia,
Politeknik Bentara Citra Bangsa,
Akademi Kebidanan Sismadi,
Akademi Keperawatan Bina Insan Jakarta,
Akademi Keperawatan Harum,
Akademi Maritim Djadajat,
Akademi Maritim Nasional Jaya,
Akademi Pariwisata Bhakti Nusantara,
Akademi Pariwisata Bunda Mulia,
Akademi Sekretari & Manajemen Dharma Budhi Bhakti,
Institut Bisnis Dan Informatika Kwik Kian Gie,
Institute Agama Buddha Nasional Divyarajya,
Sekolah Tinggi Agama Buddha Maha Prajna Jakarta,
Sekolah Tinggi Ilmu Administrasi YPIAMI,
Sekolah Tinggi Ilmu Kesehatan Sismadi,
Sekolah Tinggi Ilmu Pelayaran Jakarta,
Sekolah Tinggi Manajemen Industri Indonesia,
Sekolah Tinggi Manajemen Transportasi Malahayati,
Sekolah Tinggi Teologi Lintas Budaya Jakarta,
Sekolah Tinggi Teologi Rahmat Emmanuel Jakarta,
STAI Imam Syafi`i Tomang Jakbar,
STAI PTDII Jakarta,
STAI Shalahuddin Al-Ayyubi Jakarta Utara,
Sekolah Tinggi Teologi  EKUMENE JAKARTA,
Universitas Bunda Mulia,UBM
Akademi Keperawatan Husada Karya Jaya,
Politeknik Astra,
Politeknik Manufaktur Astra,
Sekolah Tinggi Teologi  Biblika Jakarta,
Universitas 17 Agustus 1945 Jakarta,UTA'45 Jakarta
Institut Kesehatan Indonesia,IKI
Akademi Bahasa Asing Santa Ursula,
Akademi Kebidanan Pelita Persada,
Akademi Keperawatan Pelni,
Akademi Keperawatan Sumber Waras,
Akademi Kesehatan Swakarsa Jakarta,
Akademi Keuangan Dan Perbankan YPK,
Akademi Olahraga Prestasi Nasional,
Akademi Telekomunikasi Indonesia Gemilang,
Akademi Televisi Indonesia,
Institut Teknologi dan Bisnis Swadharma,ITB Swadharma
Institut Teknologi Perusahaan Listrik Negara,ITPLN
Politeknik Bisnis Indonesia,
Politeknik Orang Tua,
Sekolah Tinggi Agama Buddha Dutavira,
Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,
Sekolah Tinggi Ilmu Ekonomi BPKP,
Sekolah Tinggi Ilmu Ekonomi IGI,
Sekolah Tinggi Ilmu Ekonomi Kasih Bangsa,
Sekolah Tinggi Ilmu Ekonomi Media Nusantara Citra,
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,
Sekolah Tinggi Ilmu Ekonomi Trisakti,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Media Nusantara Citra,
Sekolah Tinggi Teknik YPLN,
Sekolah Tinggi Teologi Amanat Agung,
Sekolah Tinggi Teologi The Truth Jakarta,
Sekolah Tinggi Teologi Wesley Methodist Indonesia,
STMIK Inovasi Sains Teknologi Bisnis,
STMIK Mahakarya,
STMIK Swadharma,
Sekolah Tinggi Teologi  Pokok Anggur Jakarta,
Sekolah Tinggi Teologi  Sangkakala Jakarta,
Universitas Agung Podomoro,
Universitas Bina Nusantara,BINUS
Universitas Esa Unggul,
Universitas Kristen Krida Wacana,UKRIDA
Universitas Mercu Buana,UMB
Universitas Satyagama,
Universitas Tarumanagara,UNTAR
Universitas Timbul Nusantara,UTN
Universitas Trisakti,USAKTI
Institut Sains Dan Teknologi Al-Kamal,ISTA
STIAS Bunda Hati Kudus,
STMIK Jakarta Institute Of Technology,
Institut Sains dan Teknologi Pradita,
Sttik Meridian,
Sekolah Tinggi Seni Musik Cantata Jakarta,
Sekolah Tinggi Teologi Baptis Jakarta,
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",
Universitas Dian Nusantara,Undira
Akademi Teknik Telekomunikasi Sandhy Putra Jakarta,
Institut Teknologi Telkom Jakarta,ITTJ
Sekolah Tinggi Ilmu Kesehatan Kesosi,
Sekolah Tinggi Teologi Andatu,
Sekolah Tinggi Teologi Hagiasmos Mission Jakarta,
STMIK Satyagama,
Akademi Akuntansi Bentara Indonesia,
Akademi Akuntansi Nasional Jakarta,
Akademi Akuntansi Syafa at Indonesia,
Akademi Bahasa Asing Nasional Jakarta,
Akademi Bakti Kemanusiaan Palang Merah Indonesia,
Akademi Farmasi Bhumi Husada,
Akademi Kebidanan Bhakti Pertiwi Indonesia,
Akademi Kebidanan Bhinneka Jakarta Satu,
Akademi Kebidanan Kartini Jakarta,
Akademi Kebidanan Keris Husada,
Akademi Kebidanan Yayasan Rumah Sakit Jakarta,
Akademi Kebidanan YPDR,
Akademi Keperawatan Berkala Widya Husada,
Akademi Keperawatan Fatmawati,
Akademi Keperawatan Keris Husada,
Akademi Keperawatan Rumah Sakit Jakarta,
Akademi Keperawatan Syafaat Indonesia,
Akademi Keperawatan Yayasan Dharma Bhakti Jakarta,
Akademi Keperawatan YPDR,
Akademi Kesehatan Lingkungan Andalusia,
Akademi Manajemen Keuangan BSI Jakarta,
Akademi Pariwisata Jakarta International Hotel,
Akademi Pariwisata Krisanti Widya Mandiri,
